Unnamed: 0,magnitude,cdi,mmi,sig,nst,dmin,gap,depth,latitude,longitude,Year,Month,tsunami
,6.6,8,8,2083,548,0.0,12.6,14.0,30.308,102.888,2013,4,0
,6.6,5,5,672,0,3.183,18.0,13.23,54.7018,163.208,2021,3,1
,6.6,9,8,2840,0,0.174,25.0,8.0,42.8621,13.0961,2016,10,0
,7.7,7,4,931,507,0.0,10.8,18.6,38.058,144.59,2011,3,0
,6.6,8,6,785,0,2.418,22.0,33.0,-6.9291,105.251,2022,1,0
,6.9,5,7,745,0,0.0,0.0,36.4,56.7744,-153.281,2001,1,0
,6.7,0,4,691,50,0.936943,126.0,33.0,52.48,-167.736,2022,1,1
,6.6,0,7,670,111,0.0,16.0,10.0,10.701,-42.594,2013,6,0
,6.7,0,7,691,370,0.0,15.4,16.0,-1.617,134.276,2012,4,0
,6.9,5,4,738,0,1.173,36.0,20.74,55.2657,-157.68,2021,8,1
,6.5,3,4,669,0,1.611,63.0,10.0,49.2586,-129.412,2018,10,0
,7.5,7,8,869,0,1.295,22.0,55.0,-5.4624,151.875,2015,5,1
,6.7,7,6,844,0,1.269,98.0,11.0,-35.4758,-73.163,2019,9,1
,7.3,8,6,1570,0,1.822,15.0,146.82,10.7731,-62.9019,2018,8,1
,6.7,8,8,776,0,2.043,22.0,10.0,51.2407,100.443,2021,1,0
,6.7,0,3,691,0,7.527,17.0,13.0,-43.1219,42.3568,2019,1,1
,7.1,6,6,780,0,0.592,11.0,135.0,-14.8595,167.303,2015,10,1
,6.5,7,7,1018,0,0.0,0.0,11.0,38.67,20.6,2015,11,0
,6.7,5,6,856,312,0.0,34.7,18.0,-36.217,-73.257,2010,3,0
,7.8,0,9,936,368,0.0,0.0,10.0,35.946,90.541,2001,11,0
,6.5,5,6,679,698,0.0,27.0,30.0,11.763,-86.926,2013,6,1
,6.9,6,6,941,645,0.0,30.6,29.0,36.501,21.67,2008,2,0
,6.6,9,8,1043,141,8.454,34.0,12.0,29.7263,102.279,2022,9,0
,7.8,9,9,1163,0,1.44,15.0,20.59,0.3819,-79.9218,2016,4,1
,6.5,8,6,690,0,3.026,22.0,110.0,-4.455,-76.9395,2022,2,1
,7.9,9,7,987,0,3.625,9.0,135.0,-6.2464,155.172,2017,1,1
,7.2,7,7,809,0,1.504,38.0,18.98,-0.5858,128.034,2019,7,1
,7.3,0,7,820,667,0.0,24.5,16.0,50.038,87.813,2003,9,0
,6.6,7,6,808,461,0.0,18.8,20.0,-39.011,178.291,2007,12,0
