,Unnamed: 0,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats
0,1183,Hyundai Santro GLS I - Euro II,2004,70266.79636419378,90000,Petrol,Individual,Manual,Third Owner,,,,,
1,8108,Kia Seltos HTX Plus AT D,2019,1858645.0596855225,20000,Diesel,Individual,Automatic,First Owner,17.8 kmpl,1493 CC,113.4 bhp,250nm@ 1500-2750rpm,5.0
2,2783,Maruti Wagon R LXI Minor,2008,108287.4542094603,100000,Petrol,Individual,Manual,Third Owner,18.9 kmpl,1061 CC,67 bhp,84Nm@ 3500rpm,5.0
3,5458,Tata New Safari DICOR 2.2 LX 4x2,2009,231236.9461801165,110000,Diesel,Individual,Manual,First Owner,11.57 kmpl,2179 CC,138.1 bhp,320Nm@ 1700-2700rpm,7.0
4,1007,Toyota Innova 2.5 Z Diesel 7 Seater BS IV,2015,950319.8726550941,114368,Diesel,Dealer,Manual,Second Owner,12.99 kmpl,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,7.0
5,6637,Tata Tiago 1.2 Revotron XZ,2017,416878.6561975905,15000,Petrol,Individual,Manual,First Owner,23.84 kmpl,1199 CC,84 bhp,114Nm@ 3500rpm,5.0
6,5790,Mahindra Scorpio SLE BSIII,2013,550198.4871359998,80000,Diesel,Individual,Manual,Second Owner,12.05 kmpl,2179 CC,120 bhp,290Nm@ 1800-2800rpm,8.0
7,1974,Honda City Corporate Edition,2012,540014.735175153,100000,Petrol,Individual,Manual,Second Owner,16.8 kmpl,1497 CC,116.3 bhp,146Nm@ 4800rpm,5.0
8,6099,Toyota Etios GD SP,2012,438373.9927983326,140000,Diesel,Individual,Manual,Second Owner,,,,,
9,3338,Hyundai i20 1.2 Asta Option,2017,687594.2158510389,20000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5.0
10,7005,Ford EcoSport 1.5 Petrol Ambiente BSIV,2017,683179.5907578045,31596,Petrol,Dealer,Manual,First Owner,17.0 kmpl,1497 CC,121.36 bhp,150Nm@ 4500rpm,5.0
11,7055,Mahindra XUV500 W8 2WD,2013,753113.5186669719,70000,Diesel,Individual,Manual,Third Owner,15.1 kmpl,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7.0
12,1525,Maruti Swift Dzire VDi,2010,288647.742283016,120000,Diesel,Individual,Manual,Fourth & Above Owner,19.3 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm,5.0
13,7367,Honda City i-DTEC ZX,2017,1052966.7195024674,69000,Diesel,Dealer,Manual,First Owner,25.6 kmpl,1498 CC,97.9 bhp,200Nm@ 1750rpm,5.0
14,737,Hyundai Grand i10 1.2 Kappa Magna AT,2018,555415.4642781641,20000,Petrol,Individual,Automatic,First Owner,18.9 kmpl,1197 CC,81.86 bhp,113.75nm@ 4000rpm,5.0
15,5572,Skoda Octavia Classic 1.9 TDI MT,2007,339839.21947345743,155000,Diesel,Individual,Manual,First Owner,18.7 kmpl,1896 CC,66 bhp,210 / 1900,5.0
16,7966,Mahindra TUV 300 T8,2017,683220.3421953017,70000,Diesel,Individual,Manual,First Owner,18.49 kmpl,1493 CC,100 bhp,240Nm@ 1600-2800rpm,7.0
17,2553,Hyundai Grand i10 1.2 Kappa Sportz Option,2017,478883.6051989206,50000,Petrol,Individual,Manual,First Owner,18.9 kmpl,1197 CC,81.86 bhp,113.75nm@ 4000rpm,5.0
18,612,Maruti Alto 800 LXI,2013,207254.3877036455,24000,Petrol,Individual,Manual,First Owner,22.74 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5.0
19,7559,Skoda Rapid Ultima 1.6 TDI Elegance,2012,363380.00241446495,140000,Diesel,Individual,Manual,First Owner,20.5 kmpl,1598 CC,103.5 bhp,250Nm@ 1500-2500rpm,5.0
20,8032,Tata Indica Vista Aura 1.2 Safire BSIV,2011,416780.3904925134,70000,Petrol,Individual,Manual,Second Owner,16.5 kmpl,1172 CC,65 bhp,96  Nm at 3000  rpm ,5.0
21,2600,Volkswagen Polo 2015-2019 1.5 TDI Highline Plus,2018,652455.9979159547,53000,Diesel,Individual,Manual,First Owner,20.14 kmpl,1498 CC,88 bhp,230Nm@ 1500-2500rpm,5.0
22,2547,Maruti Alto LXi,2009,133560.54203899088,59000,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0
23,3212,Toyota Innova 2.5 GX (Diesel) 7 Seater,2016,622507.4691033383,80000,Diesel,Individual,Manual,First Owner,12.99 kmpl,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,7.0
24,2607,Volkswagen Vento Diesel Highline,2012,361540.63607603,90000,Diesel,Individual,Manual,First Owner,20.54 kmpl,1598 CC,103.6 bhp,250Nm@ 1500-2500rpm,5.0
25,7697,Maruti Alto LX,2003,-37066.96649008896,164000,Petrol,Individual,Manual,Third Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0
